Cnty,Lake,Lat,Lon
McLean County,Coal Lake,47.4430521,-101.075427
Stutsman County,Colby Lake,47.2105529,-99.2634478
McIntosh County,Coldwater Lake,46.0116387,-99.0698317
McHenry County,Connia Slough,47.9752836,-100.6393109
Rolette County,Cool Lakes,48.9444502,-99.8312476
Rolette County,Coon Lake,48.9972278,-99.9092958
Nelson County,Coon Lake,47.9738878,-98.3801036
McHenry County,Cottonwood Lake,47.8769482,-100.6726421
McLean County,Cottonwood Lake,47.6147217,-100.8281968
Mountrail County,Cottonwood Lake,48.433356,-102.5935137
Williams County,Cottonwood Lake,48.5869727,-103.4451895
LaMoure County,Cottonwood Lake,46.2894127,-98.4295428
Burleigh County,Cottonwood Lake,46.8641539,-100.1753854
Burleigh County,Cottonwood Lake,46.7788828,-100.7854054
Stutsman County,Cottonwood Lake,47.0836042,-99.0417784
Wells County,Cottonwood Lake,47.5116664,-99.6306759
Benson County,Court Lake,47.9936104,-98.9151191
Dickey County,Crab Tree Lakes,46.0163609,-98.8859391
Benson County,Cranberry Lake,48.1405588,-99.7670751
McLean County,Crooked Lake,47.6266661,-101.0312595
McLean County,Crooked Lake,47.6872227,-100.8695878
Dickey County,Crow Lake,46.0549714,-98.9214953
Barnes County,Crow Lake,47.1019278,-97.9484329
Rolette County,Crow Lake,48.9438944,-99.8493022
Wells County,Crystal Lake,47.5183303,-99.9673463
Barnes County,Crystal Lake (historical),46.8277555,-97.8287138
Pierce County,Davis Lake,48.1500018,-100.1020789
Kidder County,Dead Buffalo Lake,46.9022071,-99.7714946
Burke County,Dead Dog Slough,48.6041956,-102.4385074
Bottineau County,Deep Lake,48.9197281,-100.2804134
Stutsman County,Deer Lake,47.0527702,-99.1112231
Kidder County,Deer Lake,47.15277,-99.5956671
Nelson County,Deer Lake,47.9952715,-97.9550977
McKenzie County,Demicks Lake,47.886967,-103.0221327
Ward County,Den Lake,48.1911203,-101.3915525
Kidder County,Des Moines Lake,47.1369357,-99.6456663
Rolette County,Desjarlis Lake,48.8872262,-99.8745817
Ramsey County,Devils Lake,48.0280551,-98.9315099
Rolette County,Dion Lake,48.9775054,-99.8967976
Burke County,Docs Lake,48.6669756,-102.4707295
Stutsman County,Dollar Lake,47.2319407,-98.9959453
Rolette County,Donald Lake,48.9263931,-99.9076331
Ward County,Douglas Lake,47.8513927,-101.5043301
Logan County,Doyles Lake,46.3680301,-99.5170555
Hettinger County,Dry Lake,46.242502,-102.2409909
McIntosh County,Dry Lake,46.0860852,-99.4267809
Foster County,Dry Lake,47.3774967,-98.888719
Ramsey County,Dry Lake,48.26528,-98.9773524
Barnes County,Dry Lake (historical),46.9374839,-98.2003707
Wells County,Duck Lake,47.518889,-99.6642875
Bottineau County,Duck Lake,48.9250102,-100.3959762
McHenry County,Duckshire Lake,48.1219468,-100.3234714
Emmons County,Dutton Slough,46.6044352,-100.3328916
Ramsey County,East Devils Lake,47.9591668,-98.6351075
Stutsman County,East Fischer Lake,47.0855491,-99.2131685
Sheridan County,Ebel Lake,47.80389,-100.5026366
Barnes County,Eckelson Lake,46.9280412,-98.3037027
Burke County,Eckert Lake,48.6291957,-102.3643371
Burke County,Eds Slough,48.5847505,-102.4512861
Wells County,Egg Lake,47.7350009,-99.8759581
Benson County,Elbow Lake,47.8986103,-98.7384418
Burke County,Elbow Lake,48.6036404,-102.5082325
Rolette County,Eldridge Lake,48.902225,-100.0534636
Richland County,Elm Lake,46.0077379,-97.1339773
Richland County,Elm Lake (historical),46.0410715,-97.1725896
Burke County,Enget Lake,48.5711375,-102.6807353
Williams County,Erdahl Slough,48.4155812,-103.5474149
Stutsman County,Eric Lake,47.1241611,-99.1540017
McHenry County,Erickson Lake,48.0277856,-100.8632044
Walsh County,Fairdale Slough,48.5116659,-98.232608
Rolette County,Fiestel Lake,48.986673,-99.8587437
Stutsman County,Fischer Lake,47.0827713,-99.2267797
Benson County,Fish Lake,48.1080609,-99.5604115
Burke County,Fish Lake,48.6294734,-102.6387889
Burke County,Fish Lake,48.6539196,-102.5454538
Stutsman County,Fisher Lake,47.0269341,-99.4695551
Nelson County,Fiske Lake,48.0736089,-98.2378804
McHenry County,Flat Lake,47.9975035,-100.3076393
Burleigh County,Florence Lake,47.2913821,-100.3228969
Burke County,Ford Slough,48.6050282,-102.348781
Barnes County,Fox Lake,46.9569308,-98.3498142
Stutsman County,Fox Lake,47.2311057,-98.6070447
Ramsey County,Fox Lake,48.2327806,-98.5620554
Sheridan County,Frankhauser Lake,47.8119444,-100.3315233
Benson County,Free Peoples Lake,47.9077771,-98.7289973
Kidder County,Fresh Lake,46.6333132,-99.6178863
McHenry County,Fresh Water Lake,48.216946,-100.3584704
Richland County,Frying Pan Lake,46.0327366,-96.9748052
Renville County,Gatten Lake,48.9863943,-100.1545742
Pierce County,Gilmore Lake,48.5155523,-100.0015258
Pierce County,Girard Lake,48.0719472,-99.9992986
Rolette County,Girl Lake,48.6833328,-99.9209745
Sargent County,Golden Hill Lake,45.9596855,-97.6876004
Steele County,Golden Lake,47.5674887,-97.6378679
Steele County,Golden Rush Lake,47.5663777,-97.6528678
Barnes County,Goose Lake,47.2305432,-97.8651003
Barnes County,Goose Lake,46.8847086,-98.4053695
McIntosh County,Goose Lake,46.1152521,-99.4726142
Emmons County,Goose Lake,46.5497075,-100.010385
Pierce County,Goose Lake,48.4172198,-99.924581
McHenry County,Goose Lake,48.4283381,-100.7431917
Eddy County,Goose Lake,47.825831,-98.9731719
Wells County,Goose Lake,47.8347245,-99.9012381
Wells County,Goose Lake,47.7963932,-99.4695713
Divide County,Goose Lake,48.9869772,-103.7015892
Burke County,Goose Pan Slough,48.6433631,-102.411561
Nelson County,Gopher Tail Lake,47.9272152,-97.9112061
Rolette County,Gordon Lake,48.9211172,-99.7784742
Rolette County,Gordon Lake,48.9394487,-100.1434641
Traill County,Grandin Lake,47.3524738,-96.8517468
Burleigh County,Grass Lake,47.2233271,-100.7104082
Richland County,Grass Lake,46.098572,-97.2387023
Richland County,Grass Lake,46.0619032,-96.9256372
Pierce County,Grass Lake,48.5277751,-99.6673639
Bottineau County,Grass Lake,48.9127823,-100.2262444
Rolette County,Gravel Bottom Lake,48.9013919,-99.9598538
Rolette County,Gravel Lake,48.9558393,-99.8351357
Williams County,Green Lake,48.617251,-103.6201958
McIntosh County,Green Lake,46.2016398,-99.467335
Bottineau County,Grigg Lake,48.882507,-100.345417
Rolette County,Grimm Lake,48.9200054,-99.8229161
Burke County,Grubb Lake,48.695864,-102.7476778
Pierce County,Gunderson Lake,48.2955555,-99.9709675
Pierce County,Guss Lake,48.4616631,-99.7390288
Sheridan County,Guyes Lake,47.7672212,-100.3101329
Barnes County,Hanson Lake,47.2188784,-98.1464851
McLean County,Hanson Slough,47.5247201,-100.9362557
Dickey County,Happy Lake,46.0280275,-98.8762166
Kidder County,Harker Lake,46.8272058,-99.72094
Burke County,Harms Lake,48.6633632,-102.6790664
Burleigh County,Harriet Lake,47.1194337,-100.1870544
Nelson County,Harrison Lake,47.8949941,-98.0323208
Bottineau County,Hartley Lake,48.9927837,-100.1862417
